"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
457,0,0,29,-3,4,"face_-3_4_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.854,51.45,-26.45,26.45,5,6,4,7,5,3,5,8
377,0,0,1,-3,0,"face_-3_0_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.321,60.9,29.1,29.1,8,2,2,8,2,4,9,2
415,0,0,35,3,4,"face_3_4_1",32,45,60,90,0.52,0.29,0.19,60,0.29,0.932,57.9,2.1,2.1,7,1,1,6,1,1,7,2
12,0,0,1,-3,0,"face_-3_0_1",32,45,60,90,0.52,0.29,0.19,60,0.29,0.536,57.9,2.1,2.1,1,2,6,1,6,1,2,4
190,0,0,7,3,0,"face_3_0_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.225,60.9,29.1,29.1,6,2,1,6,1,1,8,2
99,0,0,7,3,0,"face_3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.777,47.85,32.15,32.15,8,1,1,1,1,1,5,1
202,0,0,32,0,4,"face_0_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.233,41.5,28.5,28.5,9,1,1,9,1,1,9,1
121,0,0,4,0,0,"face_0_0_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.344,47.35,-7.35,7.35,7,1,1,7,1,1,7,1
296,0,0,1,-3,0,"face_-3_0_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.047,51.45,-26.45,26.45,5,6,3,1,1,1,2,6
239,0,0,7,3,0,"face_3_0_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.919,60.5,-10.5,10.5,9,1,1,5,1,1,9,1
58,0,0,4,0,0,"face_0_0_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.835,70.2,-20.2,20.2,5,4,5,6,6,2,4,6
237,0,0,1,-3,0,"face_-3_0_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.904,70.2,-20.2,20.2,8,1,1,6,1,1,8,1
150,0,0,7,3,0,"face_3_0_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.78,41.5,28.5,28.5,8,1,1,7,1,1,6,1
311,0,0,4,0,0,"face_0_0_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.499,60.9,29.1,29.1,1,8,7,3,6,6,1,7
283,0,0,29,-3,4,"face_-3_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.434,41.5,28.5,28.5,2,6,8,2,8,2,3,2
