"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
368,0,1,38,4,6,"aface_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,6,6,5,4,7
142,0,1,23,-2,3,"face_-2_3_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,6,4,1,1,6
280,0,1,36,4,4,"aface_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,1,1,3,1
257,0,1,13,2,1,"face_2_1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,3,1,1,5,1
255,0,1,23,-2,3,"face_-2_3_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,8,3,3,3,8
56,0,1,9,-2,1,"face_-2_1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,7,5,7,4,5,7
355,0,1,13,2,1,"face_2_1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,9,1,1,8,1
313,0,1,23,-2,3,"face_-2_3_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,2,2,2,7
351,0,1,17,-1,2,"face_-1_2_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,3
17,0,1,39,4,7,"aface_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,5,2
145,0,1,9,-2,1,"face_-2_1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,3,2,4,5
446,0,1,17,-1,2,"face_-1_2_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,6,1,2,8
267,0,1,19,1,2,"face_1_2_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,1,1,4,1
429,0,1,38,4,6,"aface_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,1,6,2
102,0,1,38,4,6,"aface_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,8,3,2,3,4
76,0,1,19,1,2,"face_1_2_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,7,1,1,8,1
285,0,1,36,4,4,"aface_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,5,1,1,7,1
210,0,1,37,4,5,"aface_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,1,1,4,2
