"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
10,0,0,5,"man",9,15,70,80,0.45,0.29,0.26,80,0.26,0.076,47.85,32.15,32.15,3,8,3,3,8,2,2,7
40,0,0,6,"oh",47,55,70,85,0.28,0.51,0.21,70,0.51,0.798,68.95,1.05,1.05,9,1,1,9,1,1,9,1
29,0,0,9,"meh",24,20,60,90,0.33,0.2,0.47,90,0.47,0.538,60.9,29.1,29.1,9,1,1,8,1,1,7,1
106,0,0,4,"wow",47,55,70,85,0.28,0.51,0.21,70,0.51,0.766,68.95,1.05,1.05,9,1,1,5,1,1,1,1
146,0,0,10,"yikes",14,30,50,95,0.33,0.29,0.38,50,0.29,0.995,60.5,-10.5,10.5,3,3,2,2,2,2,2,7
71,0,0,4,"wow",47,55,70,85,0.28,0.51,0.21,70,0.51,0.209,68.95,1.05,1.05,7,1,1,7,2,1,7,7
37,0,0,5,"man",9,15,70,80,0.45,0.29,0.26,80,0.26,0.273,47.85,32.15,32.15,9,1,1,9,1,1,9,1
44,0,0,3,"yay",49,50,75,90,0.3,0.52,0.18,50,0.3,0.126,70.2,-20.2,20.2,6,1,1,5,1,1,3,1
77,0,0,6,"oh",16,25,60,100,0.45,0.37,0.18,25,0.45,0.513,51.45,-26.45,26.45,4,6,2,2,3,1,3,5
55,0,0,8,"dang",41,0,40,95,0.27,0.4,0.33,40,0.4,0.65,47.35,-7.35,7.35,2,8,5,4,1,1,1,9
31,0,0,10,"yikes",41,0,40,95,0.27,0.4,0.33,40,0.4,0.938,47.35,-7.35,7.35,2,7,8,7,8,7,2,8
65,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.724,47.85,32.15,32.15,9,2,1,7,1,1,1,1
85,0,0,7,"damn",14,30,50,95,0.33,0.29,0.38,50,0.29,0.058,60.5,-10.5,10.5,3,6,7,5,6,2,3,9
79,0,0,2,"awesome",9,15,70,80,0.45,0.29,0.26,80,0.26,0.743,47.85,32.15,32.15,9,1,1,7,1,1,8,1
97,0,0,10,"yikes",12,20,45,70,0.4,0.34,0.26,70,0.26,0.639,41.5,28.5,28.5,9,1,1,9,1,1,9,1
