"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
123,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.938,51.45,-26.45,26.45,4,4,5,5,5,4,5,6
274,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.877,51.45,-26.45,26.45,6,7,5,5,3,3,3,7
386,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.954,70.2,-20.2,20.2,8,2,3,5,3,1,6,2
171,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.308,70.2,-20.2,20.2,5,2,1,4,1,1,2,2
246,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.793,47.85,32.15,32.15,9,1,1,7,1,1,7,1
10,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.061,70.2,-20.2,20.2,4,2,1,3,1,1,4,7
180,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.651,68.95,1.05,1.05,8,1,1,6,1,1,5,3
282,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.441,41.5,28.5,28.5,9,1,1,9,1,1,8,1
105,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.299,60.9,29.1,29.1,6,1,1,3,1,1,6,1
407,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.02,70.2,-20.2,20.2,6,4,4,6,1,1,6,4
241,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.878,68.95,1.05,1.05,8,1,1,6,1,1,8,2
211,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.658,70.2,-20.2,20.2,3,8,6,5,1,1,1,9
203,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.245,47.35,-7.35,7.35,7,3,1,7,1,1,8,4
463,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.034,60.5,-10.5,10.5,7,1,2,8,3,1,6,4
373,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.319,68.95,1.05,1.05,6,2,2,5,1,1,8,1
248,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.796,57.9,2.1,2.1,7,1,1,4,1,1,4,3
111,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.252,51.45,-26.45,26.45,4,6,2,2,1,1,5,8
458,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.424,51.45,-26.45,26.45,2,2,5,2,7,1,1,5
359,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.334,47.35,-7.35,7.35,7,3,3,3,1,1,7,6
69,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.661,47.35,-7.35,7.35,4,6,6,7,4,1,5,8
143,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.03,68.95,1.05,1.05,6,3,2,3,1,1,6,4
63,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.714,70.2,-20.2,20.2,7,3,2,8,2,2,8,3
308,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.498,41.5,28.5,28.5,9,1,1,7,1,1,7,1
223,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.143,57.9,2.1,2.1,9,1,1,7,1,1,8,2
100,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.945,41.5,28.5,28.5,9,1,1,7,1,1,9,1
224,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.519,68.95,1.05,1.05,7,2,2,4,1,1,6,2
444,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.035,68.95,1.05,1.05,7,2,2,5,1,1,7,3
347,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.277,47.35,-7.35,7.35,5,2,1,1,1,1,5,2
402,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.539,47.35,-7.35,7.35,4,3,3,6,1,5,8,5
176,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.043,47.85,32.15,32.15,9,1,1,9,1,1,9,1
131,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.758,68.95,1.05,1.05,9,1,1,5,1,1,5,1
